frameNumber,navy blue star,violet star,brown star,pink star,sky blue star,orange star,yellow star,yellow heart,orange circle,violet circle,brown circle,violet heart,green star,green heart,green circle,pink circle
5100,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5130,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5160,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5190,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5220,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5250,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5280,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5310,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5340,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5370,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5400,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5430,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5460,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5490,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5520,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5550,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5580,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5610,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5640,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5670,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5700,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5730,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5760,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5790,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5820,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5850,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5880,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5910,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5940,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5970,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6000,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6030,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6060,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6090,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6120,nan,nan,nan,nan,Eating,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan
6150,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6180,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6210,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6240,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6270,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6300,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6330,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6360,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6390,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6420,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6450,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6480,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6510,nan,nan,nan,nan,Standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6540,nan,nan,nan,nan,Standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6570,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6600,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6630,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6660,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6690,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6720,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6750,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6780,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6810,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6840,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6870,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6900,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6930,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6960,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6990,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7020,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7050,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7080,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7110,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7140,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7170,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7200,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7230,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7260,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7290,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7320,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7350,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7380,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7410,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7440,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
7470,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
